SKU,Descripcion,Categoria,Equipo,Origen,Unidad,Almacen,Precio unitario,Consumo anual,Lead time (dias),Criticidad equipo (1-5),Horas parada si falla,N proveedores,Stock actual
RB-10190,Funda de cuarzo para lampara UV — variante 2,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,274.71,5,47,4,12,2,4
RB-10191,Balastro electronico UV — variante 2,Tratamiento de agua,Esterilizador UV,Importado,un,BOD-CENTRAL,723.94,2,61,4,23,1,1
RB-10192,Bomba centrifuga multietapa 15 kW alta presion — variante 2,Tratamiento de agua,Bombeo RO,Importado,un,BOD-CENTRAL,6688.9,1,101,4,14,2,1
RB-10193,Sensor de conductividad inductivo — variante 2,Tratamiento de agua,Control RO,Importado,un,BOD-CENTRAL,812.1,3,45,3,18,2,3
RB-10194,Electrodo de pH con cable integrado — variante 2,Tratamiento de agua,Control de proceso,Importado,un,BOD-CENTRAL,231.76,9,27,3,14,3,5
RB-10195,Bomba dosificadora de diafragma 10 L/h — variante 2,Tratamiento de agua,Dosificacion,Importado,un,BOD-CENTRAL,1453.2,1,48,3,10,3,0
RB-10196,Diafragma PTFE para bomba dosificadora — variante 2,Tratamiento de agua,Dosificacion,Importado,un,BOD-CENTRAL,198.33,9,49,3,18,3,3
RB-10197,Manguera de succion PVC reforzada dosificacion — variante 2,Tratamiento de agua,Dosificacion,Nacional,m,BOD-CENTRAL,6.75,160,10,2,15,4,37
RB-10198,Medio filtrante antracita — variante 2,Tratamiento de agua,Filtro multimedia,Nacional,saco 25 kg,BOD-CENTRAL,132.01,5,21,3,15,3,1
RB-10199,"Arena silicea filtrante 0,6 mm — variante 2",Tratamiento de agua,Filtro multimedia,Nacional,saco 25 kg,BOD-CENTRAL,44.8,6,22,3,5,4,0
